layer,accuracy,f1,auc,majority,permutation_p,n,n_pos,tag,run_dir
1,0.7025,0.0,0.6557044405404965,0.7025,1.0,4800,1428,early,runs/llama_v1
2,0.704375,0.012504939804711937,0.6884411499757119,0.7025,0.0,4800,1428,early,runs/llama_v1
3,0.7139583333333333,0.17023912235548572,0.7546272174444906,0.7025,0.0,4800,1428,early,runs/llama_v1
4,0.7370833333333333,0.27524312857785554,0.78602986377212,0.7025,0.0,4800,1428,early,runs/llama_v1
5,0.7629166666666667,0.4234270938223824,0.8307964852199221,0.7025,0.0,4800,1428,early,runs/llama_v1
6,0.7983333333333332,0.5458623395256671,0.8691195473518448,0.7025,0.0,4800,1428,early,runs/llama_v1
7,0.8197916666666666,0.6150018535306021,0.898230032623192,0.7025,0.0,4800,1428,early,runs/llama_v1
8,0.838125,0.6650733675340191,0.9186433079282785,0.7025,0.0,4800,1428,early,runs/llama_v1
9,0.8529166666666667,0.7041075417199678,0.9250473307285529,0.7025,0.0,4800,1428,middle,runs/llama_v1
10,0.85875,0.7219746653697217,0.9307157525537765,0.7025,0.0,4800,1428,middle,runs/llama_v1
11,0.8645833333333334,0.733062927483172,0.9312000246501262,0.7025,0.0,4800,1428,middle,runs/llama_v1
12,0.8689583333333333,0.7435569477648837,0.9341333273117021,0.7025,0.0,4800,1428,middle,runs/llama_v1
13,0.8660416666666666,0.7461153324960049,0.9322749120543176,0.7025,0.0,4800,1428,middle,runs/llama_v1
14,0.8700000000000001,0.7546513902064976,0.9361027318749742,0.7025,0.0,4800,1428,middle,runs/llama_v1
15,0.8639583333333334,0.7457951529999647,0.932476091493146,0.7025,0.0,4800,1428,middle,runs/llama_v1
16,0.875625,0.7701283031862355,0.9379846548205026,0.7025,0.0,4800,1428,middle,runs/llama_v1
1,0.549375,0.679672161207784,0.5828098805816777,0.5175,0.0,4800,2484,early,runs/mistral_v1
2,0.595,0.6694123465060733,0.6422599098318708,0.5175,0.0,4800,2484,early,runs/mistral_v1
3,0.629375,0.674370368494462,0.6775867434263051,0.5175,0.0,4800,2484,early,runs/mistral_v1
4,0.661875,0.7002729037005069,0.7162983077776313,0.5175,0.0,4800,2484,early,runs/mistral_v1
5,0.7041666666666666,0.7344292155568772,0.7768073723218201,0.5175,0.0,4800,2484,early,runs/mistral_v1
6,0.7327083333333333,0.7556697309082756,0.8120981665228042,0.5175,0.0,4800,2484,early,runs/mistral_v1
7,0.7585416666666667,0.7767213481952815,0.8384810985404295,0.5175,0.0,4800,2484,early,runs/mistral_v1
8,0.775,0.7911626154318168,0.8535291227040436,0.5175,0.0,4800,2484,early,runs/mistral_v1
9,0.7989583333333333,0.8103991869504096,0.8838346082403465,0.5175,0.0,4800,2484,middle,runs/mistral_v1
10,0.8074999999999999,0.8164662543723947,0.8954244179494021,0.5175,0.0,4800,2484,middle,runs/mistral_v1
11,0.8385416666666666,0.8455929891240952,0.925110325813376,0.5175,0.0,4800,2484,middle,runs/mistral_v1
12,0.8612500000000001,0.8676313351424833,0.939794228501464,0.5175,0.0,4800,2484,middle,runs/mistral_v1
13,0.8695833333333333,0.8750831187124634,0.9483108523366688,0.5175,0.0,4800,2484,middle,runs/mistral_v1
14,0.881875,0.8870739050370702,0.9544952565038537,0.5175,0.0,4800,2484,middle,runs/mistral_v1
15,0.8954166666666665,0.9001113144540323,0.9615576058144084,0.5175,0.0,4800,2484,middle,runs/mistral_v1
16,0.9045833333333334,0.9082558987929443,0.9645377447372372,0.5175,0.0,4800,2484,middle,runs/mistral_v1
1,0.8791666666666667,0.8848234935386751,0.945615749426725,0.5125,0.0,4800,2460,early,runs/pythia_v1
2,0.8939583333333333,0.8985834294381967,0.9531195712598152,0.5125,0.0,4800,2460,early,runs/pythia_v1
3,0.9041666666666666,0.908112892535941,0.9600214543812104,0.5125,0.0,4800,2460,early,runs/pythia_v1
4,0.91875,0.921893525584038,0.9711395142797583,0.5125,0.0,4800,2460,early,runs/pythia_v1
5,0.9220833333333334,0.9248287901201759,0.9736202313946215,0.5125,0.0,4800,2460,early,runs/pythia_v1
6,0.9235416666666666,0.9259642367162437,0.974068428184282,0.5125,0.0,4800,2460,early,runs/pythia_v1
7,0.9185416666666667,0.9212608912020226,0.9671213779445486,0.5125,0.0,4800,2460,early,runs/pythia_v1
8,0.925,0.9272402324020753,0.9664612431380724,0.5125,0.0,4800,2460,early,runs/pythia_v1
9,0.9254166666666667,0.9276245669311999,0.9713028107845181,0.5125,0.0,4800,2460,middle,runs/pythia_v1
10,0.9275,0.9297918135136147,0.970978823570287,0.5125,0.0,4800,2460,middle,runs/pythia_v1
11,0.9350000000000002,0.9370174260515242,0.9720350392606489,0.5125,0.0,4800,2460,middle,runs/pythia_v1
12,0.9331250000000001,0.9352936735841275,0.9698982871238968,0.5125,0.0,4800,2460,middle,runs/pythia_v1
13,0.93625,0.9380882471808254,0.9717501389757487,0.5125,0.0,4800,2460,middle,runs/pythia_v1
14,0.9339583333333333,0.935785492283221,0.9730704085887012,0.5125,0.0,4800,2460,middle,runs/pythia_v1
15,0.9341666666666667,0.9362423805030982,0.9737626815370717,0.5125,0.0,4800,2460,middle,runs/pythia_v1
16,0.9341666666666667,0.9360998706443178,0.9732024355499966,0.5125,0.0,4800,2460,middle,runs/pythia_v1
