layer,accuracy,balanced_accuracy,f1,auc,majority,permutation_p,n,n_pos,tag,run_dir
1,0.615,0.5951495586793069,0.4575979805295861,0.6168280756238422,0.7025,0.0,400,119,early,runs/llama_v1
2,0.5825,0.5960825977988449,0.47246884818432466,0.6132603928299007,0.7025,0.0,400,119,early,runs/llama_v1
3,0.5875,0.5972730739893211,0.4726643516056345,0.6305158276125095,0.7025,0.0,400,119,early,runs/llama_v1
4,0.5824999999999999,0.5913206930369401,0.466163754142441,0.6294853982783046,0.7025,0.0,400,119,early,runs/llama_v1
5,0.5625,0.5698921216083688,0.44221425375062584,0.6305383022774327,0.7025,0.015,400,119,early,runs/llama_v1
6,0.5599999999999999,0.5728996404053612,0.446496109554933,0.6199878091969053,0.7025,0.02,400,119,early,runs/llama_v1
7,0.55,0.5753432494279177,0.4526616469842277,0.6194402446333225,0.7025,0.02,400,119,early,runs/llama_v1
8,0.5599999999999999,0.5847730739893212,0.46114480846684236,0.6368921624713959,0.7025,0.015,400,119,early,runs/llama_v1
9,0.5775,0.5925111692274163,0.4646476732234385,0.6356679742835349,0.7025,0.005,400,119,middle,runs/llama_v1
10,0.5775,0.5851871526642693,0.45511531767488744,0.6419768851476517,0.7025,0.01,400,119,middle,runs/llama_v1
11,0.6075000000000002,0.621113926119647,0.49453662002498255,0.6455857714939522,0.7025,0.0,400,119,middle,runs/llama_v1
12,0.6275,0.6496226980494715,0.5262664072824303,0.6620447177726927,0.7025,0.0,400,119,middle,runs/llama_v1
13,0.6375,0.6596899858341507,0.5397778301461893,0.6942372915985617,0.7025,0.0,400,119,middle,runs/llama_v1
14,0.645,0.6600727361882969,0.5403063310005594,0.7057293369292796,0.7025,0.0,400,119,middle,runs/llama_v1
15,0.6699999999999999,0.6826291271657405,0.5632716804312585,0.7120093031491773,0.7025,0.0,400,119,middle,runs/llama_v1
16,0.6775,0.6879549417020814,0.5685936755124741,0.7199374114634411,0.7025,0.0,400,119,middle,runs/llama_v1
1,0.57,0.5691513022706861,0.5865136298421808,0.5661940968744563,0.5175,0.01,400,207,early,runs/mistral_v1
2,0.5599999999999999,0.5598870534685683,0.5686737296853228,0.5739545862780779,0.5175,0.01,400,207,early,runs/mistral_v1
3,0.5625,0.562142927675662,0.5744201781887099,0.5883493913018946,0.5175,0.01,400,207,early,runs/mistral_v1
4,0.5574999999999999,0.5565715414239163,0.5755191785794541,0.5859693793583396,0.5175,0.015,400,207,early,runs/mistral_v1
5,0.5775,0.5756682983255512,0.6040603075085833,0.6150218416585553,0.5175,0.0,400,207,early,runs/mistral_v1
6,0.59,0.5887314439946018,0.6124536558796343,0.6191541235828784,0.5175,0.0,400,207,early,runs/mistral_v1
7,0.5625,0.5632620481786079,0.5663714995535756,0.6282947048672338,0.5175,0.0,400,207,early,runs/mistral_v1
8,0.5675,0.568716349974373,0.5616021892337681,0.6306704848425002,0.5175,0.0,400,207,early,runs/mistral_v1
9,0.575,0.5760324827077073,0.5680997929641228,0.6350491613649509,0.5175,0.0,400,207,middle,runs/mistral_v1
10,0.5875,0.5883522126140868,0.5813575614388623,0.6352983772752707,0.5175,0.0,400,207,middle,runs/mistral_v1
11,0.6,0.6004311905467233,0.5991286811375385,0.631540154325777,0.5175,0.0,400,207,middle,runs/mistral_v1
12,0.5924999999999999,0.5917279126521746,0.6074307319100445,0.6354262767613217,0.5175,0.0,400,207,middle,runs/mistral_v1
13,0.6,0.5989953777501916,0.6132801936250212,0.6447004001561126,0.5175,0.0,400,207,middle,runs/mistral_v1
14,0.5925,0.5919383355198503,0.6004985929930085,0.6492076814926623,0.5175,0.0,400,207,middle,runs/mistral_v1
15,0.6024999999999999,0.6011369888134972,0.6263345912272408,0.656096385428863,0.5175,0.0,400,207,middle,runs/mistral_v1
16,0.63,0.6290442334729882,0.6494912838108289,0.65934771262114,0.5175,0.0,400,207,middle,runs/mistral_v1
1,0.7,0.6993120700437774,0.7127119761042785,0.7906191369606004,0.5125,0.0,400,205,early,runs/pythia_v1
2,0.7100000000000001,0.709068167604753,0.7253254741239238,0.7931207004377736,0.5125,0.0,400,205,early,runs/pythia_v1
3,0.7325000000000002,0.7315196998123826,0.7465934313155318,0.8033771106941838,0.5125,0.0,400,205,early,runs/pythia_v1
4,0.7575000000000001,0.7559099437148217,0.7762698385026756,0.8113821138211381,0.5125,0.0,400,205,early,runs/pythia_v1
5,0.7449999999999999,0.743464665415885,0.7642158986951707,0.8095059412132584,0.5125,0.0,400,205,early,runs/pythia_v1
6,0.7775000000000001,0.7761726078799249,0.7925581395348837,0.8105065666041276,0.5125,0.0,400,205,early,runs/pythia_v1
7,0.7725000000000001,0.7709193245778612,0.7899263687395204,0.8143839899937462,0.5125,0.0,400,205,early,runs/pythia_v1
8,0.775,0.7736085053158224,0.7906120948033587,0.8091307066916823,0.5125,0.0,400,205,early,runs/pythia_v1
9,0.775,0.7742338961851157,0.7853985069148852,0.807379612257661,0.5125,0.0,400,205,middle,runs/pythia_v1
10,0.7750000000000001,0.7743589743589744,0.7836479579208796,0.8118824265165729,0.5125,0.0,400,205,middle,runs/pythia_v1
11,0.78,0.7792370231394622,0.7898772135678058,0.8161350844277673,0.5125,0.0,400,205,middle,runs/pythia_v1
12,0.76,0.7590994371482177,0.7719354288880501,0.8152595372107567,0.5125,0.0,400,205,middle,runs/pythia_v1
13,0.7549999999999999,0.7542213883677298,0.7662666272139459,0.8106316447779861,0.5125,0.0,400,205,middle,runs/pythia_v1
14,0.7625,0.7616635397123201,0.7730347233503017,0.8192620387742338,0.5125,0.0,400,205,middle,runs/pythia_v1
15,0.76,0.7588492808005003,0.773509875148814,0.8140087554721701,0.5125,0.0,400,205,middle,runs/pythia_v1
16,0.765,0.7639774859287054,0.7770251387935874,0.8201375859912445,0.5125,0.0,400,205,middle,runs/pythia_v1
